epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,111.281,0.98947,0.73468,0.98088,0.90325,0.88019,0.9426,0.78722,0.69554,0.65931,0.90211,0.000371313,0.000371313,0.000371313
43,113.723,1.07712,0.77303,1.00727,0.89494,0.885,0.93914,0.79128,0.67772,0.68297,0.89838,0.000365125,0.000365125,0.000365125
44,116.113,1.04353,0.75659,1.00973,0.91638,0.88288,0.95026,0.76309,0.76962,0.6567,0.9234,0.000358938,0.000358938,0.000358938
45,118.552,1.06837,0.75349,1.01392,0.83819,0.91014,0.9455,0.79439,0.68063,0.67779,0.89006,0.00035275,0.00035275,0.00035275
46,120.979,1.03723,0.72966,1.00821,0.85683,0.91133,0.9349,0.77688,0.68773,0.68186,0.89683,0.000346563,0.000346563,0.000346563
47,123.391,1.02919,0.75022,0.98629,0.88527,0.90705,0.9346,0.78664,0.67875,0.6402,0.88519,0.000340375,0.000340375,0.000340375
48,125.859,1.01078,0.73095,0.98424,0.90706,0.90997,0.95856,0.81007,0.64744,0.63129,0.88436,0.000334188,0.000334188,0.000334188
49,128.281,0.9728,0.70658,0.98293,0.96491,0.86993,0.96058,0.80959,0.66525,0.60011,0.87798,0.000328,0.000328,0.000328
50,130.689,0.98494,0.71485,0.97825,0.91579,0.86762,0.95578,0.8092,0.64305,0.62298,0.87821,0.000321812,0.000321812,0.000321812
51,133.132,0.98514,0.72725,0.98516,0.95015,0.88064,0.95761,0.80071,0.67939,0.61545,0.89074,0.000315625,0.000315625,0.000315625
52,135.545,0.97916,0.72202,0.97814,0.9161,0.91167,0.96596,0.81028,0.67744,0.60256,0.88956,0.000309437,0.000309437,0.000309437
53,137.937,0.94467,0.69903,0.98058,0.88331,0.90718,0.94297,0.78162,0.69616,0.6216,0.88777,0.00030325,0.00030325,0.00030325
54,140.32,0.98336,0.70252,0.98606,0.90588,0.87561,0.93417,0.78955,0.65498,0.60504,0.88479,0.000297063,0.000297063,0.000297063
55,142.748,0.94027,0.69826,0.97518,0.90838,0.88973,0.93209,0.7822,0.66185,0.62755,0.87965,0.000290875,0.000290875,0.000290875
56,145.125,0.92208,0.68754,0.97482,0.87646,0.90729,0.94071,0.79527,0.66117,0.61376,0.87446,0.000284688,0.000284688,0.000284688
57,147.47,0.92044,0.68052,0.9675,0.90567,0.89046,0.94917,0.80367,0.6476,0.60608,0.88018,0.0002785,0.0002785,0.0002785
58,149.885,0.94493,0.67813,0.96422,0.88714,0.8979,0.95766,0.80101,0.67294,0.60549,0.89371,0.000272313,0.000272313,0.000272313
59,152.335,0.8958,0.66989,0.95519,0.93365,0.88208,0.96477,0.81639,0.64765,0.58972,0.87923,0.000266125,0.000266125,0.000266125
60,154.778,0.9388,0.68656,0.96879,0.87889,0.89556,0.94688,0.80262,0.65597,0.61655,0.87606,0.000259938,0.000259938,0.000259938
61,161.752,0.93578,0.68575,0.97123,0.86033,0.89973,0.94982,0.80641,0.65044,0.63253,0.87896,0.00025375,0.00025375,0.00025375
62,164.197,0.94104,0.68095,0.97201,0.9304,0.91657,0.96896,0.80697,0.68932,0.59608,0.89206,0.000247563,0.000247563,0.000247563
63,166.638,0.87991,0.6498,0.95849,0.94305,0.91232,0.97023,0.82842,0.64,0.55158,0.87491,0.000241375,0.000241375,0.000241375
64,169.128,0.94816,0.6651,0.96417,0.94355,0.90072,0.96349,0.82094,0.63414,0.55326,0.87761,0.000235188,0.000235188,0.000235188
65,171.582,0.91891,0.65352,0.95857,0.92468,0.90683,0.95612,0.81686,0.63477,0.57161,0.87061,0.000229,0.000229,0.000229
66,174.056,0.924,0.65078,0.96069,0.94336,0.89561,0.95884,0.80073,0.68452,0.57704,0.88055,0.000222813,0.000222813,0.000222813
67,176.509,0.90635,0.64791,0.95608,0.9295,0.91194,0.96474,0.81483,0.66167,0.56539,0.88158,0.000216625,0.000216625,0.000216625
68,178.996,0.9747,0.6746,0.96258,0.94723,0.86427,0.96426,0.81706,0.64011,0.60159,0.88129,0.000210437,0.000210437,0.000210437
69,181.47,0.88535,0.64665,0.95168,0.88165,0.92423,0.96445,0.80525,0.70149,0.56849,0.89132,0.00020425,0.00020425,0.00020425
70,183.93,0.90405,0.63557,0.95804,0.91524,0.89852,0.95826,0.8216,0.64027,0.60056,0.86942,0.000198063,0.000198063,0.000198063
71,186.395,0.86609,0.62437,0.94495,0.93252,0.87017,0.95643,0.81514,0.62461,0.59937,0.86834,0.000191875,0.000191875,0.000191875
72,188.846,0.88577,0.64097,0.94302,0.90646,0.90739,0.96284,0.82399,0.64573,0.57526,0.87164,0.000185688,0.000185688,0.000185688
73,191.312,0.86613,0.62348,0.94892,0.93238,0.89122,0.96625,0.82359,0.6439,0.55566,0.87461,0.0001795,0.0001795,0.0001795
74,193.772,0.87186,0.62936,0.94724,0.90201,0.89535,0.96222,0.82285,0.63924,0.5861,0.87584,0.000173313,0.000173313,0.000173313
75,196.263,0.8492,0.61387,0.93744,0.9244,0.8494,0.95953,0.82426,0.62192,0.60119,0.87117,0.000167125,0.000167125,0.000167125
76,198.722,0.87274,0.62661,0.95305,0.91867,0.8871,0.95884,0.82571,0.6249,0.59826,0.87165,0.000160938,0.000160938,0.000160938
77,201.241,0.85813,0.63391,0.93336,0.91945,0.89222,0.9607,0.83032,0.6154,0.59086,0.87268,0.00015475,0.00015475,0.00015475
78,203.697,0.84083,0.61373,0.94288,0.9264,0.89401,0.96508,0.83144,0.60763,0.56556,0.87248,0.000148563,0.000148563,0.000148563
79,206.211,0.85122,0.611,0.94164,0.94926,0.87908,0.96626,0.83433,0.62351,0.55515,0.86839,0.000142375,0.000142375,0.000142375
80,208.678,0.84766,0.62059,0.94102,0.91485,0.89343,0.96679,0.82788,0.62101,0.55566,0.87308,0.000136187,0.000136187,0.000136187
81,211.154,0.84032,0.61006,0.94046,0.91126,0.92883,0.97163,0.83526,0.61207,0.5418,0.87054,0.00013,0.00013,0.00013
82,213.594,0.82378,0.59808,0.93318,0.92621,0.91504,0.96996,0.83735,0.60833,0.55618,0.86999,0.000123812,0.000123812,0.000123812
83,216.12,0.82967,0.61862,0.92869,0.86271,0.95052,0.96865,0.82994,0.60171,0.54247,0.87081,0.000117625,0.000117625,0.000117625
84,218.515,0.8281,0.59562,0.94054,0.87799,0.9364,0.9687,0.82528,0.63767,0.54026,0.87671,0.000111438,0.000111438,0.000111438
85,220.955,0.86435,0.61352,0.94348,0.87005,0.9553,0.96782,0.83056,0.61535,0.54722,0.86706,0.00010525,0.00010525,0.00010525
86,223.381,0.83081,0.59879,0.92973,0.88868,0.95122,0.97286,0.83772,0.61711,0.54239,0.8723,9.90625e-05,9.90625e-05,9.90625e-05
87,225.792,0.82175,0.60002,0.93398,0.92901,0.90669,0.97272,0.84593,0.59419,0.5268,0.86807,9.2875e-05,9.2875e-05,9.2875e-05
88,228.233,0.83098,0.60457,0.9336,0.90385,0.94058,0.9729,0.8501,0.5944,0.51586,0.86689,8.66875e-05,8.66875e-05,8.66875e-05
89,230.672,0.81655,0.59128,0.93003,0.90417,0.95033,0.97056,0.84259,0.59672,0.52488,0.8639,8.05e-05,8.05e-05,8.05e-05
90,233.087,0.82198,0.59588,0.93015,0.88578,0.96603,0.96711,0.84206,0.5923,0.536,0.86248,7.43125e-05,7.43125e-05,7.43125e-05
91,254.745,0.77882,0.56292,0.92514,0.91871,0.92669,0.96638,0.84103,0.6033,0.52597,0.86467,6.8125e-05,6.8125e-05,6.8125e-05
92,257.109,0.79041,0.55563,0.91879,0.90759,0.9397,0.96594,0.83622,0.60386,0.52577,0.86446,6.19375e-05,6.19375e-05,6.19375e-05
93,259.497,0.77939,0.54012,0.91912,0.95262,0.89558,0.96633,0.83448,0.60402,0.5346,0.86623,5.575e-05,5.575e-05,5.575e-05
94,261.801,0.76924,0.545,0.91522,0.89659,0.92787,0.96771,0.83386,0.60075,0.54561,0.8692,4.95625e-05,4.95625e-05,4.95625e-05
95,264.079,0.76738,0.53678,0.91815,0.84373,0.93571,0.95695,0.82373,0.60061,0.56853,0.87097,4.3375e-05,4.3375e-05,4.3375e-05
96,266.375,0.76195,0.53029,0.91179,0.82739,0.9471,0.95081,0.81384,0.61046,0.58318,0.87335,3.71875e-05,3.71875e-05,3.71875e-05
97,268.675,0.76614,0.53345,0.91531,0.83414,0.95154,0.94814,0.81218,0.60822,0.58226,0.87283,3.1e-05,3.1e-05,3.1e-05
98,270.961,0.75493,0.52503,0.91414,0.8392,0.9286,0.95065,0.81686,0.60419,0.57093,0.87107,2.48125e-05,2.48125e-05,2.48125e-05
99,273.251,0.74973,0.51327,0.91585,0.86434,0.92257,0.95777,0.82415,0.59999,0.55495,0.86862,1.8625e-05,1.8625e-05,1.8625e-05
100,275.548,0.74607,0.51738,0.91046,0.86881,0.92801,0.96132,0.826,0.59616,0.54702,0.86705,1.24375e-05,1.24375e-05,1.24375e-05
